2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram
и есть	4	4
общего с	2	2
в отношении	4	4
не менее	13	10
в своем	4	3
сами по	2	2
тем не	12	10
символа в	2	6
и является	3	3
то же	5	7
само понятие	2	2
он тоже	2	2
во все	2	2
является для	2	3
или иного	5	3
ничего общего	3	5
и вообще	16	6
так как	7	5
случае не	4	5
является только	3	2
и прежде	2	2
значительной мере	3	2
как мы	5	3
вовсе не	37	21
без всякого	4	4
все эти	7	16
и можно	3	5
точно так	3	3
в значительной	3	2
только и	3	5
не в	2	13
но эта	3	2
имеем в	2	3
такого рода	15	7
но все	2	3
сознания и	2	3
об его	2	2
не очень	2	2
может быть	18	9
ни в	6	17
и все	5	8
о том	18	5
в этой	9	4
и к	3	3
нет никакой	2	4
не вполне	4	2
правда в	2	3
мы здесь	3	2
но именно	4	2
когда мы	6	5
самое время	4	2
что и	2	3
как и	5	6
т д	6	3
ясно что	8	7
самом деле	4	3
которые тоже	2	2
крайней мере	6	6
и то	10	2
как они	2	2
отнюдь не	5	10
не говоря	4	3
и тоже	3	2
в виду	8	6
бы и	7	3
есть не	6	6
в конце	7	2
или менее	4	2
хотя бы	12	7
еще и	5	3
тотчас же	2	2
и что	13	2
с другой	6	7
и по	3	2
