2gram	Bakhtin_slovoVRomane_partition_part1_wordlist_2gram	Bakhtin_slovoVRomane_partition_part2_wordlist_2gram
это не	5	6
прежде всего	8	8
одна из	4	2
но не	6	2
то есть	26	26
в поэзии	2	3
и т	35	28
для него	7	3
своему предмету	5	2
именно в	2	3
у него	3	3
своего языка	4	3
одним словом	2	2
одновременно и	3	2
в рамки	2	2
себя в	8	9
так сказать	6	5
роман в	3	2
в большинстве	6	10
своего и	2	2
на этом	3	2
романного слова	2	4
а также	3	2
на протяжении	2	2
роль в	2	2
лишь в	3	4
поэтического слова	4	9
с одной	5	4
романе в	3	3
слова все	3	2
связанные с	4	3
и для	5	4
этом случае	6	2
иной степени	3	9
со своим	9	5
быть и	3	4
европейского романа	7	3
и единственного	2	4
точка зрения	2	8
слове во	2	2
в речах	2	2
романного жанра	15	7
с чужим	11	8
например в	5	2
социальное разноречие	4	3
установка на	2	6
оно было	2	2
языковое сознание	9	6
даже в	2	2
его слово	15	2
или даже	3	2
в языковом	2	4
и единственный	2	3
в истории	11	3
в этих	7	2
нем и	2	3
на чужом	2	8
зоны героев	2	3
зрения и	2	2
в контекст	2	2
рядом с	3	4
и здесь	2	3
сливается с	4	2
романного стиля	3	7
с его	7	4
не только	24	16
том что	5	2
литературного языка	12	20
может не	2	8
могут быть	7	19
а не	14	15
той или	5	9
из существеннейших	2	3
и даже	7	6
обстоит дело	2	2
на фоне	4	7
и на	4	14
во всяком	3	7
в романах	3	2
именно как	2	2
но оно	2	3
два голоса	2	2
чужим словом	14	9
всяком случае	2	5
конечно и	2	2
и от	3	4
языка в	6	16
в сущности	6	13
романа и	5	5
сказать что	3	2
мы уже	2	2
из него	2	2
между тем	3	2
слова как	2	6
на почве	4	4
чужом языке	2	7
пародийная стилизация	2	3
риторических жанрах	2	2
в процессе	13	4
зависимости от	4	3
вне себя	2	3
в свою	3	3
входит в	4	4
отношение к	4	7
как к	3	2
и потому	7	4
и слово	2	2
вокруг него	2	2
как вещь	2	2
слов и	3	2
в отношении	4	6
в своем	6	3
а вовсе	2	2
языкового сознания	7	3
чужих слов	6	7
то же	4	14
язык как	3	3
и чисто	2	3
сих пор	2	2
свои интенции	3	3
этого жанра	2	2
социальных языков	7	2
национального языка	3	5
поэтическое слово	4	3
и чужого	2	2
в языке	2	5
узком смысле	4	10
так как	4	3
точек зрения	3	5
и форм	2	2
вовсе не	10	7
как мы	7	8
смысловые и	2	7
все эти	6	9
не могут	5	3
в романе	46	21
о нем	2	4
единого языка	3	7
не в	9	7
и иных	4	2
авторское слово	3	3
может быть	37	14
и все	5	4
о том	2	3
более того	2	3
и к	6	5
свою очередь	2	2
как в	13	8
слово в	11	10
как и	6	4
т д	2	5
и экспрессивные	2	3
мы сказали	2	4
один из	5	4
языков и	9	9
и мир	4	5
ту же	3	4
и других	4	3
его язык	3	3
бы и	3	3
в основном	4	3
с ее	2	4
его как	2	2
или менее	2	3
хотя бы	3	3
те же	2	2
в основе	4	5
одной стороны	5	4
там где	6	4
в смысле	4	4
на его	2	8
с другой	5	5
из романа	2	2
всех его	3	7
чужому слову	2	4
самого автора	2	2
