2gram	Losev_VladivirSolovjev_partition_part1_wordlist_2gram	Losev_VladivirSolovjev_partition_part3_wordlist_2gram
не только	25	24
истории философии	3	5
и речи	2	3
том что	18	14
в философии	3	2
он уже	2	4
мы уже	5	7
вл соловьев	127	121
тем самым	2	2
указ соч	2	7
одной из	2	2
на первом	3	2
на себя	2	3
в каком	4	2
отнюдь не	5	3
в своих	7	5
работы вл	4	2
с –.]	2	7
тем что	5	2
хотя и	7	4
и даже	6	15
не был	8	5
соловьева но	4	4
же время	2	4
и на	6	3
русской философии	2	2
во всяком	3	2
и весьма	3	2
под названием	9	2
собственно говоря	3	3
не было	5	5
по своей	2	4
мы сейчас	2	7
что его	2	4
только что	2	2
в котором	4	6
на вл	2	3
с вл	4	4
в конце	12	9
для себя	5	2
или менее	5	3
хотя бы	6	2
что на	2	2
ничего не	5	3
еще и	18	7
в начале	2	3
тому же	5	2
во многом	2	2
к этой	2	2
соловьева и	11	7
всяком случае	3	2
который был	2	2
и тут	3	2
в том	18	11
а с	4	5
сам вл	7	7
но в	4	12
вл соловьеву	16	11
и что	8	6
что вл	17	10
с другой	5	3
и был	3	6
и от	6	5
в нашем	2	4
е н	2	2
у вл	42	13
и по	2	8
сказать что	12	7
все же	4	3
необходимо сказать	7	2
