2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram
другими словами	3	3
ни только	2	4
в буквальном	3	3
рода символ	2	2
в литературе	2	4
то и	5	6
вполне можно	2	2
как знак	4	2
во всех	4	7
или иных	3	2
и не	28	31
за пределы	2	6
смысле слова	15	7
в виде	22	15
даже и	13	8
мы можем	3	4
на самом	5	6
при помощи	10	13
совершенно не	3	6
как же	2	3
ни на	3	4
не просто	16	23
но и	14	9
учение о	3	3
того чтобы	2	9
казалось бы	3	4
для того	3	8
понятия и	3	2
потому что	15	16
в которой	2	2
что всякий	3	4
только не	4	3
в целях	5	2
тем более	4	5
в ряд	3	2
в его	3	6
с ним	4	3
что к	2	2
можно сказать	5	5
тем самым	4	4
этот последний	2	2
бесконечный ряд	16	12
в каком	6	3
мы не	7	2
указывает на	4	14
а может	2	2
же в	4	4
и очень	5	2
не было	3	4
или в	5	4
каком случае	3	3
бесконечное количество	4	4
но она	3	3
нет ничего	3	10
далеко не	2	5
в нем	5	13
можно было	4	3
что она	4	5
несмотря на	4	3
в своей	4	8
символ есть	6	10
это не	7	6
прежде всего	11	10
лучше сказать	2	2
но это	6	8
символа но	3	2
но если	6	2
но не	5	9
то есть	27	33
если бы	8	4
данном случае	5	8
и т	4	11
который является	2	2
для него	3	2
именно в	7	4
по крайней	6	2
чем оно	2	2
символ но	5	5
так что	6	6
в таком	6	9
что понятие	3	3
а также	6	4
не мешает	3	2
и притом	2	4
можно ли	3	5
дело в	2	3
и для	4	4
очень много	2	3
и символ	4	3
как именно	2	2
подобного рода	11	5
а именно	2	12
некоторого рода	2	5
не всякий	3	4
между прочим	3	2
по своему	6	9
если мы	5	11
чем же	3	2
значит что	8	3
должны сказать	2	2
всякий символ	4	12
на этой	2	2
иное как	2	2
мы должны	3	5
здесь перед	5	3
что не	4	3
не является	10	5
не что	2	2
для этого	2	3
в истории	3	4
и весь	3	4
в этих	5	3
то что	15	42
между собою	2	7
нечто иное	2	2
теория символа	3	2
том как	2	2
в области	3	2
и сама	3	2
это было	2	2
по преимуществу	2	2
с его	2	2
не только	24	17
том что	12	12
уже и	3	3
той или	14	5
а не	7	15
мы находим	2	2
и даже	9	11
и на	3	8
есть только	2	8
во всяком	8	7
сама по	2	4
символы в	5	2
ни о	4	5
что его	4	3
в самой	4	3
для себя	2	3
а наоборот	2	3
в математике	4	2
все время	2	2
всяком случае	4	3
художественный образ	6	9
однако это	2	3
сказать что	7	13
и может	2	2
необходимо сказать	3	2
для них	2	2
сам по	6	7
к его	3	2
понятия символа	9	7
есть в	7	5
символ как	2	3
есть нечто	9	11
свидетельствует о	2	3
идейная образность	2	8
буквальном смысле	2	3
символа как	4	5
в одно	6	4
своему содержанию	5	3
тоже есть	7	3
и потому	7	2
о символе	2	14
и есть	4	6
однако в	2	2
общего с	2	8
в отношении	4	3
не менее	10	19
в чем	2	3
в своем	3	5
сами по	2	3
тем не	10	18
символа в	6	3
и является	3	7
то же	7	10
действительности и	5	5
символ в	6	7
себе все	2	2
десятичных знаков	2	6
того же	2	3
или иного	3	2
здесь нет	3	2
ничего общего	5	11
и вообще	6	4
так как	5	11
ясно и	2	2
меньше всего	3	2
случае не	5	3
как мы	3	7
вовсе не	21	35
без всякого	4	2
все эти	16	8
точно так	3	4
как это	3	6
только и	5	3
не в	13	4
такого рода	7	7
но все	3	3
сознания и	3	2
об его	2	3
всегда есть	4	6
то он	2	2
не очень	2	2
может быть	9	14
ни в	17	7
и все	8	7
и во	4	3
о том	5	11
в этой	4	10
даже если	3	4
нет никакой	4	2
мы здесь	2	2
много разных	2	2
но именно	2	3
из них	3	3
когда мы	5	8
самое время	2	4
как в	5	4
как и	6	3
т д	3	10
ясно что	7	3
самом деле	3	6
крайней мере	6	2
и то	2	6
как они	2	2
отнюдь не	10	10
не говоря	3	4
в виду	6	6
на нечто	2	8
идея и	3	2
есть не	6	6
только что	2	2
символ является	2	3
в конце	2	6
или менее	2	3
хотя бы	7	3
еще и	3	5
в бесконечный	14	11
и что	2	9
на его	2	2
с другой	7	3
