2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram
как он	5	2
то что	44	37
события в	3	3
что все	11	6
с другом	4	3
очень легко	4	3
и здесь	3	6
был бы	3	5
с этой	4	2
в двух	4	5
как говорит	2	4
с его	2	2
заключается в	5	8
не только	7	16
том что	22	21
до тех	2	2
на этот	3	3
мы могли	2	4
а не	6	8
бы мы	3	3
то это	3	4
и на	5	3
с но	3	2
есть только	2	2
с той	2	2
он говорит	3	3
ничего не	2	2
все время	24	20
показать как	2	4
в сущности	6	12
и эта	2	2
сказать что	13	9
мы уже	5	6
сам по	2	3
из этих	2	3
сейчас же	16	8
как на	6	11
нам придется	3	2
и он	3	2
и потому	2	5
что ему	2	2
по поводу	4	3
и есть	4	5
того что	4	8
сводится к	2	5
в своем	7	6
что при	2	3
что эта	6	4
сами по	3	2
была бы	2	3
то же	9	7
к этому	4	3
сих пор	3	5
в которых	3	2
событий в	3	2
так как	12	9
и мы	15	16
меньше всего	2	3
же точно	7	6
просто и	2	2
на то	10	17
самое важное	2	3
вовсе не	5	3
как мы	4	5
этой трагедии	3	4
все эти	6	2
как это	14	7
внимание на	2	4
он видит	3	2
обратиться к	3	5
не в	2	8
но все	2	2
может быть	22	11
трагедии и	6	2
всякий раз	6	2
ни в	3	3
с таким	2	2
мы знаем	2	2
и сейчас	3	3
и все	12	4
о том	20	10
в этой	9	5
и к	2	4
на примере	2	4
что у	4	3
над ним	2	2
из них	4	2
когда мы	6	6
кажется нам	3	6
что и	3	3
как в	3	3
как и	5	6
т д	2	3
один из	2	5
ясно что	5	6
самом деле	12	8
в нашей	2	2
и именно	2	4
и то	2	9
в виду	2	4
и трагедии	2	2
целый ряд	5	3
в рассказе	8	2
тому что	6	8
только что	15	4
событий и	3	2
в конце	8	4
хотя бы	2	3
сущности говоря	2	8
в основе	3	7
одной стороны	3	12
бы его	3	2
и что	25	23
с другой	2	9
и вот	6	2
время как	2	2
