2gram	Voloshinov_MarksizmFilosofijaJazyka_partition_part1_wordlist_2gram	Voloshinov_MarksizmFilosofijaJazyka_partition_part2_wordlist_2gram
слово как	2	4
и т.п	10	10
во всех	6	7
идеологического творчества	2	9
и не	19	26
за пределы	3	5
для других	3	2
большинстве случаев	5	3
мы можем	6	2
на самом	7	3
не как	3	2
с самого	5	4
совершенно не	5	3
и гибкий	2	2
бы в	4	2
но и	10	8
в другом	3	2
говорящего сознания	4	2
того чтобы	6	5
и формы	3	3
установкой на	2	2
нем нет	2	2
для того	6	4
системе языка	5	4
направлении к	3	5
слова и	6	3
истории языка	3	2
к другому	5	3
в слове	4	10
в его	5	6
бытия в	2	7
одним из	2	2
и речи	2	2
одной из	3	3
как такое	2	3
в каком	3	3
абстрактного объективизма	17	16
именно эти	2	2
мы не	2	6
в единстве	4	2
этого слова	5	2
в ней	3	4
– говорит	2	4
не было	3	3
по отношению	8	3
быть понято	2	2
или в	2	2
в начале	2	5
языка а	2	3
языка как	9	17
без исключения	2	8
в пределах	10	6
далеко не	2	4
в какой	3	3
и высказывание	2	2
в нем	11	10
и того	5	6
в своей	3	3
к проблеме	2	2
прежде всего	7	13
в данной	4	2
в высшей	3	3
таком случае	3	2
одна из	7	2
его значение	2	2
если бы	11	2
независимо от	2	2
для него	9	9
– и	5	4
понимания и	2	3
именно в	2	5
между внутренним	2	2
так сказать	14	6
в большинстве	5	3
в таком	7	2
и их	4	2
в тесной	2	2
между ними	2	4
существует для	2	2
лишь в	14	9
должна быть	4	2
первое направление	3	3
зрения говорящего	2	3
и для	7	11
вполне понятно	4	3
быть и	6	3
науки о	2	4
менее всего	3	2
этих форм	2	3
из важнейших	2	2
вопрос о	2	4
социологического метода	2	2
если мы	6	11
социального общения	3	12
должны быть	2	3
речевых выступлений	6	2
чем же	3	4
речевой акт	4	2
проблемы реальной	2	2
внутренней речи	7	9
одного и	4	5
на этой	5	2
что не	2	2
не является	8	4
в истории	3	3
речи и	13	3
и более	7	2
то мы	2	2
то что	4	8
как система	3	8
следовательно и	2	2
рядом с	2	5
и здесь	5	6
язык –	3	2
и пр	25	12
в двух	3	2
его формы	4	2
теперь мы	2	3
языка –	6	10
не только	13	8
именно здесь	2	2
том что	10	3
могут быть	3	2
а не	9	7
и даже	2	2
и на	5	4
во всяком	3	5
являются лишь	2	2
как если	4	2
настоящего времени	2	5
ничего не	4	6
как такой	3	4
всяком случае	2	2
здесь мы	3	4
речевого общения	12	3
и от	3	3
языка в	3	14
друг друга	2	8
общения в	3	3
и эта	2	4
в сущности	14	3
в нашем	2	2
реальной данности	3	3
от одного	3	3
мы уже	6	2
сказать что	4	4
из него	2	2
индивидуалистического субъективизма	7	5
между тем	6	3
к его	2	2
выражение в	5	4
слова как	2	7
социальная ситуация	2	3
на почве	9	6
речи в	10	3
и он	2	2
зависимости от	2	2
в процессе	18	14
в свою	6	2
в направлении	6	7
языка не	3	2
и потому	2	5
в неразрывной	2	2
связана с	2	2
того что	4	3
в отношении	4	4
сводится к	2	3
в своем	2	2
и является	2	2
то же	16	7
язык как	6	7
самом же	3	2
к этому	5	5
в идеологическом	2	4
сих пор	3	8
разобранные нами	2	2
того же	5	6
нормативно тождественных	5	7
в языке	7	4
узком смысле	2	2
так как	3	2
в материале	2	3
и прежде	2	2
отсюда следует	3	2
вовсе не	11	5
как мы	15	13
слово является	2	2
все эти	3	7
его к	2	2
допустим что	2	2
не в	10	5
конечно в	3	2
сознания и	3	3
может быть	28	26
ни в	6	2
различие между	2	3
мы знаем	2	5
и все	6	5
о том	3	2
более того	6	3
абстрактный объективизм	5	3
свою очередь	5	2
языковой формы	4	3
что и	3	2
то ни	5	8
следует что	4	3
слово в	3	3
как и	9	12
самом деле	9	10
оно становится	2	2
отнюдь не	8	6
речь и	4	2
слово –	5	4
законы языкового	2	3
в основном	4	6
тому что	4	2
в отличие	3	5
хотя бы	6	5
в основе	9	2
– как	5	2
там где	2	2
в смысле	6	6
с другой	3	5
от него	2	2
